VOICE,NAME
Joey,Summoned Tribute Master
Joey,Behroe Dlexon
Joey,Marlin Bizmite
Joey,Miltiades Tal`Azroth
Joey,Trisco Qental
Joanna,Dumisa D`Enetti
Joanna,Rosdaria Sepria
Joey,Sinon Loarpe
Joey,Gende Reldari
Joanna,Headara Ponido
Joanna,Ingaria Dinego
Joey,Tsuden Korinte
Joey,Moreo O`Meek
Joanna,Isobelle Losiwoo
Joey,Corrao Duperame
Joey,Gero Yopetu
Joanna,Celamari Marre
Joanna,Pai Berenis
Joey,Xantomo Salmor
Joey,D`mitrious Irska
Joey,Lord Mrallon
Joey,Yakem Oreslinger
Joey,an investigator
Joey,Jalorin Tar`Visgur
Joey,Wolten Grafe
Joey,Chesgard Sydwen
Joanna,Kasine Paegra
Joey,Renic Losaren
Joey,Vicus Nonad
Joey,Jusean Evanesque
Joanna,Sollari Bekines
Joanna,Drawna Opimsor
Joey,Daenor Casthopur
Joey,Kazlo Naedra
Joey,Gahlith Wrannstad
Joey,Basten Ghunret
Joey,Unsar Koldhagon
Joanna,Esdia Moeba
Joanna,Mespha Tevalian
Joanna,Yestura Rhamrey
Joey,Juegile Sohgohm
Joey,Tinshen Brinth
Joey,Brin Stolunger
Joey,Grahan Rothkar
Joey,Daedet Losaren
Joanna,Dionna
Joey,Caton Glimmerstep
Joey,Klieb Torne
Joey,Micc Koter
Joey,Karl Verhey
Joey,Bruno Barstomper
Joanna,Gehna Solbenya
Joey,Zamel
Joey,Endric
Joanna,Indaria
Joanna,Tabure Ahendle
Joey,Tomas Zelnik
Joey,Hansl Bigroon
Joanna,Nostahla Westfend
Joey,Kinloc Flamepaw
Joey,Joffrey Clay
Joey,Belious Naliedin
Joey,Vansted Rohenga
Joey,Runethar Hamest
Joey,Ebon Strongbear
Joanna,Eve Marsinger
Joey,Tralyn Marsinger
Joey,Warehnn Awlne
Joey,Edvard Tommels
Joey,Ginleen Harltop
Joey,Wylin Dodmil
Joey,Exterminator Rasmon
Joey,Den Magason
Joey,Anehan Treol
Joey,Faren
Joey,Ian Silverbright
Joey,Cras Snyder
Joey,Oscar the Brash
Joey,Torin the Retriever
Joey,Dan Wallin
